id,filename,path,size,type,isMalicious,original_hash,rebuild_hash,date_created,virus_total_status,gw_rebuild_xml_status,gw_rebuild_file_status
1,MODForm5050ExcavationStatementKnownHazards.doc,doc/4d7a8ed88b1d32cf8ad4e115a322c7dbce4bf4d56a432e819fed52047a18f729,398848 bytes,doc,FALSE,4d7a8ed88b1d32cf8ad4e115a322c7dbce4bf4d56a432e819fed52047a18f729,6bf3f3505adbb627131a86d627cc5e05fdae94caef5230dacb62394e9954d374,11:08.6,FALSE,TRUE,TRUE
2,ocr-faq.doc,doc/b8386420c9503d3b8474bc27189cc0b60216aa872b593fbc94d545ede6260507,999936 bytes,doc,FALSE,b8386420c9503d3b8474bc27189cc0b60216aa872b593fbc94d545ede6260507,a831fce069ac135cb4978a447f9ed8359b360bf9b09b07163d71b13e50633850,11:10.0,FALSE,TRUE,TRUE
3,internal_audit_quality_assessment_framework_word_file.doc,doc/36a0009a10dc7ef14c9a48c512f74969d50e3c6d8be8b1245e3a274b7c9a129d,390656 bytes,doc,FALSE,36a0009a10dc7ef14c9a48c512f74969d50e3c6d8be8b1245e3a274b7c9a129d,23b5258370ad51b15e7b1d938ba91b20a3ab47deb47832965b86ffb15dec0ae8,11:11.5,FALSE,TRUE,TRUE
4,Simple_dos_and_dont_s_for_the_carriage_of_protectively_marked_assets_out_of_the_office.doc,doc/9c162f663d8aa1a289cbcbe5650411f9f86bb188915d6198a05d1d873eb4f8a1,28672 bytes,doc,FALSE,9c162f663d8aa1a289cbcbe5650411f9f86bb188915d6198a05d1d873eb4f8a1,40d42198d17b5230052eb1797b7b6077d005aa658b5ed34091187bcf1d01a8a3,11:13.7,FALSE,TRUE,TRUE
5,ppc-application-form-1.doc,doc/d59eb7100b732d6cf61643ae61a0ec9cf9a93fd217419b2af1fdfca79378beed,359424 bytes,doc,FALSE,d59eb7100b732d6cf61643ae61a0ec9cf9a93fd217419b2af1fdfca79378beed,bea4c84982861f9bcbcdf1839a76c40e20a4e950b0684188c40b185a92937d35,11:15.0,FALSE,TRUE,TRUE
6,eqa_specification.docx,docx/bf0aa8931f73a689b968b545244115f1f232c5e825c32611496fd657c4cd0505,55496 bytes,docx,FALSE,bf0aa8931f73a689b968b545244115f1f232c5e825c32611496fd657c4cd0505,898D1F23689767191F7B313BD1DF3CC5E4519FCA1611FE9683E7EEDF0E26EAD3,11:16.6,FALSE,FALSE,FALSE
7,130726-Caste-Discrimination.docx,docx/13b2c842a06b98d1a54324ace3f8faa020cc37f1c46e1a750734fdffdb7feca2,63064 bytes,docx,FALSE,13b2c842a06b98d1a54324ace3f8faa020cc37f1c46e1a750734fdffdb7feca2,E4835E062B9ABC7512B679A795330B577788428F9B8AC938B2B8455F94447541,11:17.9,FALSE,FALSE,FALSE
8,internal_audit_service_level_agreement_template.docx,docx/e9bd708ea5bc8fae69273bc3fd4d7dce3524ee2670a96e752fcdd6efd838fde2,59293 bytes,docx,FALSE,e9bd708ea5bc8fae69273bc3fd4d7dce3524ee2670a96e752fcdd6efd838fde2,71E953D6DCC02E8578A29922AD3EE983E166DE1FDC7728D1EF08D35FAC00B132,11:20.4,FALSE,TRUE,TRUE
9,standard_terms_and_conditions_of_consultancy.docx,docx/5515254b655f9febc4f7a4eb3bc7e8c57b03cc0e357b15c51e5fb36843f5db15,9951 bytes,docx,FALSE,5515254b655f9febc4f7a4eb3bc7e8c57b03cc0e357b15c51e5fb36843f5db15,7afdca20b1a8be524a41d9e4171f2e07569e9c11ba4ef0ee69b48ab78607d674,11:21.8,FALSE,TRUE,TRUE
10,terms_for_the_hire_of_goods.docx,docx/623eac2087fdb398e39b6f0e797f64041d3d31a071b486a9048f3d607fbaebb6,8772 bytes,docx,FALSE,623eac2087fdb398e39b6f0e797f64041d3d31a071b486a9048f3d607fbaebb6,e48c7d0824f9bbb1e5e9e7bd599121055c0efb8ae5a4a49933eb168dd0562ff2,11:23.2,FALSE,TRUE,TRUE
11,cmw-r6-4.ppt,ppt/3e5e1ce1fd265bd79bfa3d440ef483eca7c26354577e922095dcf3931a712919,46081 bytes,ppt,FALSE,3e5e1ce1fd265bd79bfa3d440ef483eca7c26354577e922095dcf3931a712919,aa8d7cd1cd8af9bc8c0eca974a311e5e289262e439952c25d9af8aab87d5e286,11:24.5,FALSE,TRUE,TRUE
12,bis-13-594e-review-science-engineering-in-civil-service-e-careers-template.ppt,ppt/23b1f3231ab9110f45dcbb8f0c08ec8073664354b91eb4a383ce0f7c327d891b,10426368 bytes,ppt,FALSE,23b1f3231ab9110f45dcbb8f0c08ec8073664354b91eb4a383ce0f7c327d891b,b2de667435330f09e459c00babaf805cd108282f48d59d6fee6d93d3df86fc28,11:29.7,FALSE,TRUE,TRUE
13,UKCB_-_Website.ppt,ppt/e6a93f89194c67314288adc970ec7928b7ec3a30cc8b8ca82250306822c1c589,249856 bytes,ppt,FALSE,e6a93f89194c67314288adc970ec7928b7ec3a30cc8b8ca82250306822c1c589,50024efee4b77b5bf0f268e6a3e48ae90af8b62b37fd987dbdd775daddb2e1c0,11:31.9,FALSE,TRUE,TRUE
14,E-Tender_System.pptx,pptx/0203fc9666f58f8cd789c44256b8b0770f6dd3fe972d3234071decac8bde0278,2847994 bytes,pptx,FALSE,0203fc9666f58f8cd789c44256b8b0770f6dd3fe972d3234071decac8bde0278,31a9714f1ed1ee790f5dfaa0b6e2daa54834600c7acecfa3a1bd78fe59d90109,11:36.0,FALSE,TRUE,TRUE
15,Exploring_racial_disparity_2020_accessible_version.pptx,pptx/0608fb876014d34ecfcaf1752c68a6c3ab096cba788e156c2d05bd474ca25521,158220 bytes,pptx,FALSE,0608fb876014d34ecfcaf1752c68a6c3ab096cba788e156c2d05bd474ca25521,c17f15d92d48d6fb68e4e6076e4305d51cbecb83585f2e983ef635ed060aade8,11:39.5,FALSE,TRUE,TRUE
16,Category_A_Sites.xls,xls/f990ab4ea5482891d2e14e836b674ea2bc8737c8705bfaaf848991d10748f602,92672 bytes,xls,FALSE,f990ab4ea5482891d2e14e836b674ea2bc8737c8705bfaaf848991d10748f602,7f009bae5f74ba9ced40bfdd39093626bc047c029867716c8a7423008a3b90e7,11:41.0,FALSE,TRUE,TRUE
